name,march_population,as_of_date_march_population,june_population,as_of_date_june_population,total_change_population,total_change_population_percentage,explanation
Alabama,20948,3/31/20,19562,6/30/20,-1386,-6.6,"Numbers reflect Alabama DOC's ""in house population"", which includes those in ADOC major institutions, ADOC Community Work Centers, and ADOC Work Releases. March number obtained from ADOC's monthly statistical report, June number reported directly by DOC upon request"
Arizona,41984,3/31/20,40547,6/16/20,-1437,-3.4,"Numbers reflect total inmate population which includes those in Arizona's state prisons, contracted in-state private prisons, and those out to court/out to hospitals. March number obtained from state's monthly report, June number obtain directly from Department of Correction upon request"
Arkansas,17501,3/15/20,16473,6/16/20,-1028,-5.9,"Numbers reflect those in custody of Division of Corrections and Division of Community Corrections, and were provided by Arkansas Department of Corrections upon request"
California,117639,3/11/20,109800,6/17/20,-7839,-6.7,"Numbers reflect those housed in California Department of Corrections and Rehabilitation's 35 institutions and adult camps, as well as those temporarily in Department of State houspitals. Numbers were obtained from Department's weekly population reports"
Colorado,17412,3/31/20,15251,6/16/20,-2161,-12.4,"Numbers reflect those in state prisons and private prisons. March number was obtained from Colorado Department of Corrections' population dashboard, June number was obtained directly from DOC upon request"
Connecticut,9041,3/15/20,7080,6/16/20,-1961,-21.7,"Connecticut operates a unified jail and prison system, where both unsentenced and sentenced individuals are housed in Connecticut Department of Corrections' facilities. For this story, the numbers reflect only the sentenced population (not the unsentenced, pre-trial population) so they are more comparable to other states. The numbers were obtained from Connecticut's daily count dashboard"
Delaware,4030,3/31/20,3479,6/30/20,-551,-13.7,"Delaware operates a unified jail and prison system, where both unsentenced and sentenced individuals are housed in Delaware Department of Corrections' facilities. For this story, the numbers reflect only the sentenced population (not the unsentenced, pre-trial population) so they are more comparable to other states. The numbers were obtained from Delaware DOC's open data portal, which presents of end of month population. For Type of Institution we restricted to ""Prison"" and ""Work Release"". For Sentence Type, we excluded ""Detentioner"" which indicates individuals awaiting trial"
Florida,93794,3/15/20,88305,6/16/20,-5489,-5.9,"Numbers reflect individuals housed in Florida Department of Corrections prisons, privately-run prisons, annexes, re-entry centers, and reception centers. Numbers were obtained directly from Florida Department of Corrections upon request"
Georgia,54921,3/1/20,51986,6/1/20,-2935,-5.3,"Numbers reflect total inmate population which includes those in state prisons, county prisons, private prisons, transitional centers, and residential substance use treatment facilities. Numbers were obtained from monthly reports posted on the Georgia Department of Corrections website"
Hawaii,1623,3/31/20,1553,6/15/20,-70,-4.3,"Hawaii operates a unified jail and prison system, where both unsentenced and sentenced individuals are in custody of Hawaii Department of Public Safety. For this story, the numbers reflect only the sentenced population (not the unsentenced, pre-trial population) so they are more comparable to other states. The numbers were obtained from Hawaii's monthly or bi-monthly population reports"
Idaho,7816,3/16/20,7188,6/16/20,-628,-8.0,"Number reflects those held in Idaho Department of Corrections operated facilities , community re-entry centers, and in-state privately-run prison. Numbers were obtained directly from Idaho DOC upon request"
Illinois,36931,3/31/20,31945,6/30/20,-4986,-13.5,"Number reflects all individuals held in a correctional facility or adult transition center, and were obtained directly from Illinois Department of Corrections upon request"
Indiana,26891,3/1/20,25876,6/1/20,-1015,-3.8,"Number reflects individuals housed in Indiana's facilities, and were obtained from monthly reports posted on Indiana Department of Corrections' website"
Iowa,8533,3/15/20,7600,6/18/20,-933,-10.9,"Number reflects individuals in Iowa Department of Corrections Institutions, and were obtained using the daily statistics dashboard on Iowa DOCs website"
Kansas,9804,3/16/20,9091,6/16/20,-713,-7.3,"Numbers reflects individuals in Kansas  Department of Corrections facilities, and were obtained from daily population reports published on Kansas DOC website"
Kentucky,12162,3/16/20,11272,6/15/20,-890,-7.3,"Numbers reflect individuals housed in Kentucky Department of Corrections institutions, and were obtained from daily statistics reports published on KY DOC's website"
Louisiana,15066,3/18/20,14623,6/17/20,-443,-2.9,"Numbers reflect individuals housed in state-run facilities, and were provided directly by the Louisiana Department of Correction upon request"
